,Company,Symbol,Weight,Sector,Sub Sector,Headquarters Location,Date Added,Founded
393,Ralph Lauren Corporation Class A,RL,0.027534,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007-02-02 00:00:00,
394,Raymond James Financial Inc.,RJF,0.046709,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20 00:00:00,
395,Raytheon Company,RTN,0.209709,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1922
396,Realty Income Corporation,O,0.086812,Real Estate,Retail REITs,"San Diego, California",2015-04-07 00:00:00,
397,Red Hat Inc.,RHT,0.142079,Information Technology,Systems Software,"Raleigh, North Carolina",2009-07-27 00:00:00,
398,Regency Centers Corporation,REG,0.046545,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02 00:00:00,
399,Regeneron Pharmaceuticals Inc.,REGN,0.142383,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01 00:00:00,
400,Regions Financial Corporation,RF,0.071317,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28 00:00:00,
401,Republic Services Inc.,RSG,0.07384,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05 00:00:00,
402,ResMed Inc.,RMD,0.073768,Health Care,Health Care Equipment,"San Diego, California",2017-07-26 00:00:00,
403,Robert Half International Inc.,RHI,0.032676,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05 00:00:00,
404,Rockwell Automation Inc.,ROK,0.088105,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,
405,Rollins Inc.,ROL,0.025982,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01 00:00:00,1948
406,Roper Technologies Inc.,ROP,0.128594,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23 00:00:00,
407,Ross Stores Inc.,ROST,0.156588,Consumer Discretionary,Apparel Retail,"Pleasanton, California",2009-12-21 00:00:00,
408,Royal Caribbean Cruises Ltd.,RCL,0.082465,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05 00:00:00,
409,S&P Global Inc.,SPGI,0.204045,Financials,Financial Exchanges & Data,"New York, New York",,
410,salesforce.com inc.,CRM,0.515006,Information Technology,Internet Software & Services,"San Francisco, California",2008-09-15 00:00:00,
411,SBA Communications Corp. Class A,SBAC,0.08895,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01 00:00:00,
412,Schlumberger NV,SLB,0.262322,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31 00:00:00,1926
413,Seagate Technology PLC,STX,0.048051,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02 00:00:00,
414,Sealed Air Corporation,SEE,0.026551,Materials,Paper Packaging,"Elmwood Park, New Jersey",,
415,Sempra Energy,SRE,0.140211,Utilities,Multi-Utilities,"San Diego, California",,
416,Sherwin-Williams Company,SHW,0.151156,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30 00:00:00,1866
417,Simon Property Group Inc.,SPG,0.242146,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26 00:00:00,
418,Skyworks Solutions Inc.,SWKS,0.056007,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12 00:00:00,
419,SL Green Realty Corp.,SLG,0.03439,Real Estate,Office REITs,"New York, New York",2015-03-20 00:00:00,
420,Snap-on Incorporated,SNA,0.04199,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30 00:00:00,
421,Southern Company,SO,0.218895,Utilities,Electric Utilities,"Atlanta, Georgia",,
422,Southwest Airlines Co.,LUV,0.115378,Industrials,Airlines,"Dallas, Texas",1994-07-01 00:00:00,
423,Stanley Black & Decker Inc.,SWK,0.092165,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30 00:00:00,
424,Starbucks Corporation,SBUX,0.3625,Consumer Discretionary,Restaurants,"Seattle, Washington",,1971
425,State Street Corporation,STT,0.119179,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,
426,Stryker Corporation,SYK,0.224392,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12 00:00:00,
427,SunTrust Banks Inc.,STI,0.118468,Financials,Regional Banks,"Atlanta, Georgia",1988-05-31 00:00:00,
428,SVB Financial Group,SIVB,0.052082,Financials,Regional Banks,"Santa Clara, California",2018-03-19 00:00:00,
429,Symantec Corporation,SYMC,0.056866,Information Technology,Application Software,"Mountain View, California",2003-03-25 00:00:00,
430,Synchrony Financial,SYF,0.080848,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18 00:00:00,
431,Synopsys Inc.,SNPS,0.059056,Information Technology,Application Software,"Mountain View, California",2017-03-16 00:00:00,
432,Sysco Corporation,SYY,0.138064,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31 00:00:00,
433,T. Rowe Price Group,TROW,0.101416,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1937
434,Take-Two Interactive Software Inc.,TTWO,0.054759,Communication Services,Interactive Home Entertainment,"New York, New York",2018-03-19 00:00:00,
435,Tapestry Inc.,TPR,0.047432,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,2017
436,Target Corporation,TGT,0.165867,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31 00:00:00,
437,TE Connectivity Ltd.,TEL,0.12397,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17 00:00:00,
438,TechnipFMC Plc,FTI,0.044745,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",2009-06-05 00:00:00,
439,Texas Instruments Incorporated,TXN,0.426796,Information Technology,Semiconductors,"Dallas, Texas",,1930
440,Textron Inc.,TXT,0.054752,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31 00:00:00,
441,Thermo Fisher Scientific Inc.,TMO,0.436312,Health Care,Health Care Equipment,"Waltham, Massachusetts",,2006
442,Tiffany & Co.,TIF,0.042694,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2000-06-21 00:00:00,
443,TJX Companies Inc,TJX,0.268859,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30 00:00:00,
444,Torchmark Corporation,TMK,0.038057,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30 00:00:00,
445,Total System Services Inc.,TSS,0.064783,Information Technology,Internet Software & Services,"Columbus, Georgia",2008-01-02 00:00:00,
446,Tractor Supply Company,TSCO,0.047829,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24 00:00:00,
447,TransDigm Group Incorporated,TDG,0.077221,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03 00:00:00,
448,Travelers Companies Inc.,TRV,0.147772,Financials,Property & Casualty Insurance,"New York, New York",2002-08-21 00:00:00,
449,TripAdvisor Inc.,TRIP,0.026144,Communication Services,Interactive Media & Services,"Newton, Massachusetts",2011-12-21 00:00:00,
450,Twenty-First Century Fox Inc. Class A,FOXA,0.237183,Communication Services,Movies & Entertainment,"New York, New York",2013-07-01 00:00:00,
451,Twenty-First Century Fox Inc. Class B,FOX,0.108104,Communication Services,Movies & Entertainment,"New York, New York",2015-09-18 00:00:00,
452,Twitter Inc.,TWTR,0.106972,Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07 00:00:00,2006
453,Tyson Foods Inc. Class A,TSN,0.078448,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,
454,U.S. Bancorp,USB,0.335697,Financials,Diversified Banks,"Minneapolis, Minnesota",,1968
455,UDR Inc.,UDR,0.050925,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07 00:00:00,
456,Ulta Beauty Inc,ULTA,0.071546,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18 00:00:00,
